,Switch ID,Status,Type
0,13640-1,Close,Switch
1,11958,Open,Switch
2,12548-1,Close,Switch
3,790,Open,Switch
4,3238,Open,Switch
5,9120-1,Close,Switch
6,15326,Open,Switch
7,11718-1,Close,Switch
8,11824-1,Close,Switch
9,6514-1,Close,Switch
10,7085-1,Close,Switch
11,15341,Close,Switch
12,161,Open,Switch
13,17868,Close,Switch
14,12755-1,Close,Switch
15,11017-1,Close,Switch
16,11953,Close,Switch
17,11962,Close,Switch
18,12985A,Open,Switch
19,13342-2,Close,Switch
20,6234-1,Close,Switch
21,13152-1,Close,Switch
22,17887,Open,Switch
23,SWITCH002,Open,Switch
24,15320,Open,Switch
25,163,Close,Switch
26,4995,Open,Switch
27,493,Close,Switch
28,4991,Close,Switch
29,574,Open,Switch
30,6219-1,Close,Switch
31,12959,Open,Switch
32,15319,Close,Switch
33,162,Close,Switch
34,14231-1,Close,Switch
35,14347-1,Open,Switch
36,14491-1,Close,Switch
37,1372,Close,Switch
38,8367-2,Close,Switch
39,1748,Close,Switch
40,14739-1,Close,Switch
41,15052-1,Close,Switch
42,5359,Open,Switch
43,12152-2,Close,Switch
44,13846-1,Close,Switch
45,6097-1,Close,Switch
46,14805-1,Open,Switch
47,15096-1-2,Close,Switch
48,17879,Open,Switch
49,15434-1,Close,Switch
50,15327,Open,Switch
51,7441-2,Close,Switch
52,17855,Open,Switch
53,15324,Open,Switch
54,14908-1,Close,Switch
55,15106-1-2,Close,Switch
56,12986,Open,Switch
57,7706-1,Close,Switch
58,14885-2,Close,Switch
59,11960,Open,Switch
60,NEW47-2,Close,Switch
61,13293-1,Open,Switch
62,15325,Open,Switch
63,6349-1,Close,Switch
64,15344,Close,Switch
65,14176-2,Close,Switch
